,t,E,Ek,Ep,T,P
0,0.0,941.6218564751465,6.2468384028953725,935.3750180722511,0.01633160366770032,16.58673628830114
1,0.01,980.7964359221105,782.6228399623947,198.17359595971587,2.046072784215411,11.151648230365781
2,0.02,946.8935246650658,1310.0016406706095,-363.10811600554365,3.424840890642116,6.596035496333145
3,0.03,882.0741726245523,1463.82188569839,-581.7477130738376,3.826985322087294,4.50303657451262
4,0.04,811.2390687713311,1460.362748060575,-649.123679289244,3.8179418249949677,3.6156072331784284
5,0.05,744.1031468956146,1403.2566132906686,-659.153466395054,3.668644740629199,3.247771845469557
6,0.06,683.2323169318897,1344.3011692300513,-661.0688522981616,3.51451286073216,3.0137278659264384
7,0.07,628.0419654302581,1286.816146896853,-658.774181466595,3.3642252206453676,2.858868175394133
8,0.08,578.4076245185963,1242.7741737958477,-664.3665492772514,3.2490828073094056,2.680542938565857
9,0.09,531.6342448836982,1215.625268055149,-683.9910231714508,3.178105275961174,2.4260782895771262
10,0.1,488.17415676119185,1180.7662368532501,-692.5920800920583,3.086970553864706,2.2706137505176898
11,0.11,448.4675995546934,1143.326754828564,-694.8591552738706,2.989089555107357,2.1809756529441366
12,0.12,412.08435614278767,1114.3607415026368,-702.2763853598491,2.913361415693168,2.072937860306544
13,0.13,378.21346870584057,1089.4998519780672,-711.2863832722267,2.84836562608645,1.970812247993488
14,0.14,347.3591629880208,1055.336179349053,-707.9770163610323,2.759048834899485,1.974784224285984
15,0.15,320.13526496363795,1016.7243996337068,-696.5891346700688,2.6581030055783184,2.053021632943314
16,0.16,296.78919420027273,979.1447778354202,-682.3555836351475,2.559855628327896,2.1586611068881116
17,0.17,276.92612656041877,952.4082781300249,-675.4821515696061,2.4899562826928756,2.2079427170026538
18,0.18,258.77738017788636,940.6732065091819,-681.8958263312956,2.45927635688675,2.1515750404853398
19,0.19,241.3822142021171,935.8536599989081,-694.471445796791,2.446676235291263,2.0372485328804526
20,0.2,224.28995048453828,936.8654570293234,-712.5755065447851,2.4493214562858125,1.8719731952571883
21,0.21,206.56700783991278,943.9118037242529,-737.3447958843401,2.467743277710465,1.6559089003412912
22,0.22,188.72479044059298,937.3596026541554,-748.6348122135624,2.4506133402723016,1.5420666571627142
23,0.23,172.4051298398964,915.3047929965552,-742.8996631566588,2.3929537071805362,1.56227883900459
24,0.24,158.58730474822596,892.9587197502019,-734.371415001976,2.3345326006541227,1.6108655023268845
25,0.25,146.55705220973027,878.5703281711599,-732.0132759614296,2.296915890643555,1.616520797391979
26,0.26,135.59469990533125,873.1441082012377,-737.5494082959065,2.2827296946437587,1.5618206585705585
27,0.27,124.73663393307572,873.9303772046543,-749.1937432715786,2.2847852998814493,1.460712408335766
28,0.28,113.77303761651785,872.4362020260655,-758.6631644095477,2.2808789595452694,1.3766602606371408
29,0.29,103.39029564516602,864.8419654897261,-761.4516698445601,2.261024746378369,1.3452692282821241
30,0.3,93.99937483760914,853.5576751485487,-759.5583003109396,2.2315233337216958,1.3518428593798362
31,0.31,85.52755564762208,848.2408227810258,-762.7132671334037,2.2176230660941854,1.3226819725335413
32,0.32,77.07966568056452,850.9885881688687,-773.9089224883041,2.2248067664545585,1.2342830394471451
33,0.33,68.3707724190989,852.8772734640494,-784.5065010449505,2.2297445057883643,1.15096831498673
34,0.34,59.78285357280117,848.3722467219129,-788.5893931491117,2.2179666580965045,1.1207684767295767
35,0.35000000000000003,52.040540183291455,833.119681446703,-781.0791412634115,2.178090670448897,1.1834079939176896
36,0.36,46.43293493957435,810.3298698798571,-763.8969349402828,2.1185094637381887,1.3211829351200346
37,0.37,42.48865293692711,801.590479478298,-759.1018265413709,2.0956613842569882,1.3711669880704949
38,0.38,38.93604475557072,799.3859645918956,-760.4499198363249,2.0898979466454786,1.3734063572922615
39,0.39,35.59177022716119,797.2803358774273,-761.6885656502661,2.084393034973666,1.3758630405184995
40,0.4,32.34817565892729,796.230817421187,-763.8826417622597,2.081649195872384,1.3744330815182868
41,0.41000000000000003,29.519188263450474,788.9433731804606,-759.4241849170102,2.062597054066564,1.4252678834708206
42,0.42,27.667635201161374,779.1075920598508,-751.4399568586895,2.036882593620525,1.5050864352030557
43,0.43,26.544492480434997,772.5675890210167,-746.0230965405817,2.0197845464601745,1.5664670324113534
44,0.44,25.873227928883807,769.2970715252893,-743.4238435964055,2.011234173922325,1.6031206631964778
45,0.45,25.502906771185735,769.721229495264,-744.2183227240782,2.0123430836477487,1.6084458950424174
46,0.46,24.845986339935735,774.0124296814456,-749.1664433415099,2.02356190766391,1.5775662489516855
47,0.47000000000000003,23.616925524622502,779.9070989431118,-756.2901734184893,2.03897280769441,1.5264076836847047
48,0.48,21.99826404919179,782.6540026347383,-760.6557385855465,2.046154255254218,1.4923919391413127
49,0.49,20.246337335288104,781.802957005867,-761.5566196705789,2.0439292993617437,1.4821920134811561
50,0.5,18.5204085777749,782.1114739909887,-763.5910654132138,2.044735879715003,1.4626307314935953
51,0.51,16.68102323510834,784.7604812182653,-768.079457983157,2.0516613888059223,1.425062479307959
52,0.52,14.591614487860852,783.9477997915628,-769.356185303702,2.04953673148121,1.4139632947036653
53,0.53,13.018483717570916,775.9113113122426,-762.8928275946716,2.0285263040842945,1.4639895547230866
54,0.54,12.49874249476943,763.4070860091572,-750.9083435143878,1.9958355189781887,1.5581725953018588
55,0.55,13.091036337826267,755.2025643337042,-742.111527995878,1.9743857891077234,1.6289411923182295
56,0.56,13.997000622109681,757.9074561593532,-743.9104555372435,1.9814574017237991,1.619431494421581
57,0.5700000000000001,14.419914926749698,762.1158811840932,-747.6959662573435,1.9924598200891324,1.5922184885375965
58,0.58,14.844536590309758,759.2713638342417,-744.4268272439319,1.985023173422854,1.6150273561337907
59,0.59,15.535862191711772,756.452627108205,-740.9167649164932,1.9776539270802744,1.6408507142218713
60,0.6,16.30695299530305,756.9524329519448,-740.6454799566418,1.9789606090246925,1.6423787769166762
61,0.61,17.099051760631482,757.0270412747919,-739.9279895141605,1.9791556634635084,1.6424996282339006
62,0.62,17.85035932395658,759.98063827347,-742.1302789495135,1.9868774856822746,1.6143503926119256
63,0.63,18.05063376182011,767.3843106722525,-749.3336769104324,2.0062334919536013,1.5424240596091283
64,0.64,17.297904483285606,776.966450055634,-759.6685455723484,2.0312848367467558,1.443365079581149
65,0.65,15.748496107301662,782.8493521870834,-767.1008560797817,2.0466649730381263,1.3648525393114666
66,0.66,13.946615355352833,781.491725566354,-767.5451102110012,2.043115622395697,1.3393991354297499
67,0.67,12.582470124311044,776.353403712742,-763.7709335884309,2.029682101209783,1.3463257036840206
68,0.68,11.7916869332837,771.4530020646253,-759.6613151313416,2.016870593633007,1.3550928192966347
69,0.6900000000000001,11.33421404782348,769.9117133201842,-758.5774992723607,2.0128410805756447,1.3400939771299458
70,0.7000000000000001,10.736280322075004,771.2645181471041,-760.5282378250291,2.0163778252211872,1.3023777731892767
71,0.71,10.171209590347416,770.4932662419285,-760.3220566515811,2.014361480371055,1.2805464397166215
72,0.72,9.720280577669541,768.9074836542356,-759.1872030765661,2.0102156435404854,1.2676641708046035
73,0.73,9.219978571986871,770.4236238621165,-761.2036452901297,2.0141794087898472,1.2347484522031542
74,0.74,8.528495426514041,770.7874353180957,-762.2589398915817,2.015130549851231,1.212091279586486
75,0.75,8.255191527125135,763.7095510477684,-755.4543595206433,1.9966262772490677,1.2501591730336064
76,0.76,9.003517264907828,750.4057369360063,-741.4022196710985,1.9618450638849838,1.3429382671798606
77,0.77,11.17956718006269,740.9690540834508,-729.7894869033881,1.937173997603793,1.4127127742241516
78,0.78,13.289400472615853,749.6004502946712,-736.3110498220553,1.9597397393324738,1.340888598358447
79,0.79,13.830627842094032,770.6852756011198,-756.8546477590257,2.0148634656238427,1.1557236881365174
80,0.8,12.29671978398585,786.6603513345063,-774.3636315505205,2.0566283695019774,0.9882863749418789
81,0.81,9.82900404598115,790.5413212711951,-780.712317225214,2.0667746961338436,0.9057626819596251
82,0.8200000000000001,7.458382533457211,786.3110094124545,-778.8526268789973,2.055715057287463,0.8907536041934085
83,0.8300000000000001,5.459791266091656,781.9518622308535,-776.4920709647619,2.0443185940675908,0.8866680622133395
84,0.84,3.7467662548535827,781.4404739945197,-777.6937077396661,2.0429816313582214,0.8612800822332164
85,0.85,2.115917220370875,780.9029680379288,-778.7870508175579,2.0415763870272645,0.8403577903089001
86,0.86,0.7413649503787383,777.1499259840256,-776.4085610336468,2.0317645123765375,0.8493452214776526
87,0.87,-0.1803357707045734,772.391524815165,-772.5718605858696,2.019324247882784,0.8741489560945235
88,0.88,-0.7336588187873758,770.7835031783184,-771.5171619971057,2.0151202697472375,0.8831621417455819
89,0.89,-1.3876901309299683,772.1723602270647,-773.5600503579947,2.0187512685674895,0.8741698615944165
90,0.9,-1.9588162559523425,771.0579828316155,-773.0167990875678,2.0158378636120666,0.8883506064764148
91,0.91,-2.4410615262831925,766.7299499802848,-769.171011506568,2.004522745046496,0.9327819952834963
92,0.92,-2.3213901885073938,761.4239062419972,-763.7452964305046,1.9906507352731952,0.9925886373069162
93,0.93,-1.7129508210824724,754.9984973922105,-756.711448213293,1.9738522807639491,1.0647927115442717
94,0.9400000000000001,-0.49484047620603633,751.6172096227708,-752.1120500989769,1.96501231273927,1.1153676270371802
95,0.9500000000000001,0.6602255707501854,755.5662622172592,-754.906036646509,1.9753366332477367,1.106191148213561
96,0.96,1.2069649659684956,761.7451519988849,-760.5381870329164,1.991490593461137,1.0708228703443887
97,0.97,1.3429766126521372,764.3329484552448,-762.9899718425927,1.9982560743927968,1.056050575040471
98,0.98,1.421761929233753,763.5958900721304,-762.1741281428966,1.9963291243715826,1.065683298919105
99,0.99,1.535316850873869,763.9962765865969,-762.460959735723,1.9973758865009068,1.069296954655385
100,1.0,1.5527789316047347,766.4780530430855,-764.9252741114808,2.003864190962315,1.0594201524392683
101,1.01,1.458920048841037,765.7228738416383,-764.2639537927972,2.001889866252649,1.0757786723506153
102,1.02,1.7918481283296614,758.2652249573978,-756.4733768290681,1.982392744986661,1.147781778298421
103,1.03,3.0163270460092235,747.5618094080044,-744.5454823619951,1.9544099592366126,1.2509825862077446
104,1.04,5.106463198558572,743.5554752100711,-738.4490120115125,1.9439358829021467,1.3073083288959497
105,1.05,7.02734410706978,750.3618947228604,-743.3345506157906,1.9617304437198964,1.2754440955567543
