,t,E,Ek,Ep,T,P
0,0.0,5977.367562114962,46.18805390065204,5931.17950821431,0.06025838734592568,89.44579365755699
1,0.01,5919.60199538194,3105.797022164933,2813.804973217006,4.05192044639913,66.7031376765118
2,0.02,5729.1196328561,4998.127685851732,730.9919470043681,6.520714528182299,50.516535758807485
3,0.03,5494.972822583264,5280.772506377361,214.20031620590262,6.889461847850439,45.78850285575115
4,0.04,5258.658678908107,5163.325452070737,95.33322683736938,6.73623672807663,44.29559206705653
5,0.05,5031.92101944069,5004.021260431494,27.899759009196252,6.5284034708825756,43.320143952331065
6,0.06,4805.383280228349,5063.199507062245,-257.81622683389605,6.605609272096863,40.836228911364316
7,0.07,4577.0508685045725,5054.12424078905,-477.0733722844782,6.5937693943758,38.87106278467001
8,0.08,4354.70610797112,4871.291494345982,-516.585386374862,6.3552400448088475,38.273878086887144
9,0.09,4143.856133127151,4627.941578349329,-484.08544522217704,6.037758093084578,38.23552518825472
10,0.1,3940.9272873094988,4546.4719128492525,-605.5446255397535,5.931470205935097,37.08969084970356
11,0.11,3742.168234480304,4430.953832099779,-688.7855976194752,5.780761685713998,36.204669698294836
12,0.12,3551.957285949134,4229.611943810428,-677.6546578612938,5.518084727737023,36.02616523243991
13,0.13,3371.286397381037,4049.7658913409723,-678.4794939599352,5.283451913034536,35.75479501992698
14,0.14,3197.6234832230134,3958.7073616886696,-761.0838784656561,5.164654092222661,34.86705088199242
15,0.15,3027.4412980158017,3868.091071815281,-840.6497737994791,5.046433231331091,34.005560661255615
16,0.16,2864.411705695752,3736.7080575453897,-872.2963518496376,4.875026820020078,33.5024066240502
17,0.17,2705.1870555782752,3677.414790218085,-972.2277346398096,4.79767095918863,32.50915071714612
18,0.18,2550.082206779599,3578.4108839589035,-1028.3286771793043,4.668507350239926,31.82152994926453
19,0.19,2400.160559108149,3463.8412396622034,-1063.6806805540548,4.51903619003549,31.310502114973644
20,0.2,2256.9617399794274,3322.969965459752,-1066.0082254803247,4.335251096490218,31.074791424119233
21,0.21,2119.8158692337074,3219.3302088363407,-1099.5143396026335,4.200039411397705,30.660957215926242
22,0.22,1988.1283163526223,3100.9259792626185,-1112.7976629099962,4.045565530675302,30.416154591848166
23,0.23,1863.3570293086577,2949.7278561160024,-1086.3708268073447,3.8483077053046344,30.44150640986545
24,0.24,1744.791224588863,2879.647080179735,-1134.855855590872,3.756878121565212,29.869499084482598
25,0.25,1625.9700537416513,2911.279289976032,-1285.3092362343807,3.79814649703331,28.51211590790593
26,0.26,1506.8172883219104,2899.1653456145086,-1392.3480572925982,3.7823422643372586,27.45598720744232
27,0.27,1388.4673209258997,2885.2171006886133,-1496.7497797627136,3.7641449454515503,26.47078872034963
28,0.28,1271.5432356533224,2821.0561175065263,-1549.512881853204,3.6804385094670926,25.92791288966844
29,0.29,1161.0633132875273,2656.864427198565,-1495.8011139110376,3.4662288678389626,26.205433350869512
30,0.3,1058.9278750438903,2512.2171033295904,-1453.2892282857001,3.2775174211736338,26.410239844327105
31,0.31,960.8138755171844,2479.42405136045,-1518.6101758432656,3.2347345745080887,25.794832626417953
