,t,E,Ek,Ep,T,P
0,0.0,939.8907714607893,12.454544150644724,927.4362273101445,0.032560899740247645,16.438190206995163
1,0.01,933.9165836485058,781.2302396086948,152.686344039811,2.04243199897698,10.695126945167297
2,0.02,894.4437276599913,1281.7073539654484,-387.2636263054572,3.3508688992560742,6.309927651561746
3,0.03,840.4514125401407,1434.7181092487658,-594.2666967086251,3.7508970176438323,4.345775287886537
4,0.04,782.6822051623806,1464.666425443202,-681.9842202808213,3.829193269132554,3.362137100077053
5,0.05,724.9597253785064,1441.2146577834,-716.2549324048937,3.7678814582572553,2.874909216607104
6,0.06,669.5178718132919,1380.3321234236512,-710.8142516103593,3.6087114337873234,2.7602019652141334
7,0.07,617.7307133766835,1302.528731366191,-684.7980179895076,3.4053038728527874,2.8527260453325516
8,0.08,569.5255296259775,1234.7442898398347,-665.2187602138572,3.2280896466400906,2.932822533055654
9,0.09,524.7741671323114,1167.6012456008586,-642.8270784685473,3.052552276080676,3.0413226435659695
10,0.1,482.9151347833555,1119.358362812344,-636.4432280289885,2.9264270923198534,3.027477082763461
11,0.11,442.46687639318793,1107.1901930476392,-664.7233166544513,2.8946148837846777,2.754113499390381
12,0.12,402.79168577305074,1086.393308614965,-683.6016228419143,2.840243944091412,2.5458983545741622
13,0.13,364.99185951772597,1033.862029801835,-668.870170284109,2.7029072674557777,2.586503600141409
14,0.14,330.2147567312484,973.2036096950071,-642.9888529637587,2.5443231626013256,2.7065161808379496
15,0.15,297.1450356066507,959.1592319131561,-662.0141963065054,2.507605835067075,2.494414377313567
16,0.16,264.2755672703072,955.9023332862452,-691.626766015938,2.49909106741502,2.1913638831997355
17,0.17,231.98192702187646,941.7938789580182,-709.8119519361418,2.462206219498087,1.9663274708727498
18,0.18,200.63707715186354,920.6452424443887,-720.0081652925252,2.406915666521278,1.80469544965841
19,0.19,170.3564547639811,899.6401500052939,-729.2836952413128,2.352000392170703,1.6608760113554086
20,0.2,141.01269482415182,880.1462609162794,-739.1335660921276,2.3010359762517107,1.5259728672689528
21,0.21,112.61674453404999,859.7393826148324,-747.1226380807824,2.2476846604309344,1.4169226362025655
22,0.22,85.4034596683806,835.1779324718896,-749.774472803509,2.183471718880757,1.3563124408378404
